IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
162.159.43.119,247,273,256,0
104.27.207.140,240,275,256,0
104.24.41.185,246,277,256,0
104.25.0.0,244,272,257,0
104.20.46.224,247,271,258,0
104.20.92.178,246,277,258,0
104.22.4.247,246,273,258,0
104.20.43.89,244,285,259,0
104.20.139.218,248,281,260,0
172.67.126.65,240,274,261,0
104.23.107.72,249,271,261,0
104.20.116.195,254,281,263,0
104.25.43.227,212,237,223,10
104.25.49.16,214,234,223,10
172.67.78.226,209,240,224,10
104.24.220.83,216,234,225,10
104.22.52.250,211,236,225,10
104.24.80.57,215,235,225,10
104.25.35.103,212,243,225,10
104.25.231.196,211,256,225,10
104.24.48.194,208,251,226,10
104.25.11.28,215,233,226,10
104.27.36.249,214,246,226,10
104.25.171.180,209,238,226,10
104.25.215.36,211,249,226,10
104.25.45.29,212,248,226,10
104.25.41.56,216,233,226,10
104.20.91.33,214,254,226,10
104.25.34.80,216,244,226,10
104.24.174.124,211,273,227,10
104.24.194.10,216,249,227,10
104.22.47.249,213,248,227,10
104.25.248.193,218,238,227,10
104.20.68.254,211,244,227,10
104.25.228.41,214,248,227,10
104.20.147.5,218,244,227,10
104.25.172.93,213,257,227,10
104.20.19.24,218,251,227,10
104.25.104.63,217,241,227,10
104.27.114.166,215,247,227,10
104.24.195.12,218,248,228,10
104.25.73.244,211,247,228,10
104.20.195.209,214,240,228,10
104.20.64.208,211,246,228,10
104.22.10.246,215,249,228,10
104.25.68.247,208,266,228,10
104.20.106.60,215,251,228,10
104.25.84.187,217,247,228,10
104.24.172.222,215,246,229,10
104.24.165.155,217,244,229,10
104.24.202.7,211,252,229,10
